,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_utilization,month,day_of_week,is_weekend,season,pm_interaction,no2_o3_ratio,aqi_category,thermal_stress,city_freq,density_Suburban,density_Urban,hospital_admissions
aqi,1.0,0.0028938310077799415,0.0019483089286497508,0.0026826683996914852,-0.0018488509901943236,-0.004377410570559079,-0.0030979395798237147,-0.0009296590815661885,0.007906905944849878,-0.004057362227248605,-0.007363309822181489,0.009139448879414801,0.004495665373724208,0.002028862893705463,0.9347974348163617,-0.0064953174776140555,-0.0025848609667570624,-0.001677593067761021,-0.002701742125626947,-0.00039335445854946777
pm2_5,0.0028938310077799415,1.0,-8.299665594695099e-05,0.004913213610258644,-0.0007910887993121046,-0.006201824461514101,0.002751824255219187,0.11777380197389282,-0.0011515707785074334,-0.004109879451674664,-0.005741470938604519,-0.0036971966455597908,0.6985485029973979,0.002493434467284111,0.00290704128913294,-0.0033506991076746088,-0.0033941103599951557,0.0003039543333780898,4.2737709748160364e-05,0.3923087916068885
pm10,0.0019483089286497508,-8.299665594695099e-05,1.0,0.0036929906938177976,0.0011974303111571658,-0.0014649766529392131,0.00618942481726302,-1.9516846025882107e-05,0.0014519052846799097,0.004056524806973254,0.0024134297664892756,0.0008013584359979914,0.6597565787646088,-0.0007520947249291546,0.002017744415408814,0.001776242131950836,-0.0011797517799932717,0.004883152264299556,-0.0019065032186691003,0.0005374456958405516
no2,0.0026826683996914852,0.004913213610258644,0.0036929906938177976,1.0,-0.0007405588117433325,0.002950972234862823,0.005071118889068378,-0.0009016776990738054,-0.002048673536826925,0.008063675631789642,0.006108796021345245,-0.0006094176034483557,0.0040263057861389265,0.4260178544457509,0.001968585202668171,0.0036649800293369556,-0.0007142133830636663,-0.0010585112014285028,-0.002227621382272929,0.001279013933403311
o3,-0.0018488509901943236,-0.0007910887993121046,0.0011974303111571658,-0.0007405588117433325,1.0,-3.112946005893674e-05,-0.004403455451275021,0.0013392854786772048,0.0016787322505985537,-0.004760837840628327,-0.007340220080018034,0.004616836892138207,-0.0006438442722291576,-0.5182202166832004,-0.0030799503840718352,-0.0017054361328235725,0.003987200532808732,-0.00018961922883776897,3.063952495963166e-05,-0.0030319593291496263
temperature,-0.004377410570559079,-0.006201824461514101,-0.0014649766529392131,0.002950972234862823,-3.112946005893674e-05,1.0,-0.004595110837156146,-0.008752906962953425,-0.0004364105261032888,0.002389907413251934,0.001538407688687447,-0.006895197661654545,-0.003769788245121082,0.0027456750226929664,-0.004703998206712994,0.8418022120962482,-0.000631713027066219,-0.0020427873019627533,0.002161308472982843,-0.0037828286819975247
humidity,-0.0030979395798237147,0.002751824255219187,0.00618942481726302,0.005071118889068378,-0.004403455451275021,-0.004595110837156146,1.0,-0.0030354777176507188,-0.0026824961554794747,0.002304896044692539,0.001675477137011529,-0.002296766313892646,0.0061727655147915915,0.006735195352208874,-0.0021613102226467743,0.4301181743739171,0.002534576039487976,0.0021678052198649644,0.0004281135626119661,9.882924510522836e-06
hospital_utilization,-0.0009296590815661885,0.11777380197389282,-1.9516846025882107e-05,-0.0009016776990738054,0.0013392854786772048,-0.008752906962953425,-0.0030354777176507188,1.0,0.0046617545575313585,-0.005695240365740432,-0.0028155427553625927,0.00581374919329075,0.08324560326515582,-0.0009112472999796683,-0.0012478911483495175,-0.008151148515791358,0.003097665293743488,-0.00332187947826536,0.003864182839120268,0.2988147863545128
month,0.007906905944849878,-0.0011515707785074334,0.0014519052846799097,-0.002048673536826925,0.0016787322505985537,-0.0004364105261032888,-0.0026824961554794747,0.0046617545575313585,1.0,-0.0001416436272314333,-0.00012422797561495176,0.575285324740662,0.0002534783756553565,-0.001935536043562752,0.0068346396663396545,-0.0021135820041087265,0.0016824427867110669,0.00051461686844292,-0.00019992776617473206,0.005726038176211556
day_of_week,-0.004057362227248605,-0.004109879451674664,0.004056524806973254,0.008063675631789642,-0.004760837840628327,0.002389907413251934,0.002304896044692539,-0.005695240365740432,-0.0001416436272314333,1.0,0.7905682982776477,-1.2662616155800828e-05,-0.0011126753556566598,0.008619141612807918,-0.0037329186603366556,0.0016803569886668286,0.0023423236934621895,-0.000539323167665671,0.0006877595355484302,-0.0028864229704542153
